Date,Close,Volume,Open,High,Low
03/08/2024,$99.16,9043458,$98.49,$99.315,$98.02
03/07/2024,$98.19,8133866,$97.99,$98.40,$97.68
03/06/2024,$97.63,10045280,$100.00,$100.10,$97.06
03/05/2024,$98.31,8670642,$99.00,$99.17,$98.00
03/04/2024,$99.54,11050910,$101.65,$101.77,$99.01
03/01/2024,$101.88,7349270,$103.87,$103.94,$101.83
02/29/2024,$103.93,10811630,$104.98,$105.57,$103.68
02/28/2024,$104.35,4219844,$104.10,$105.44,$103.70
02/27/2024,$105.15,5317417,$104.83,$105.245,$103.99
02/26/2024,$104.54,5831480,$105.31,$106.10,$103.76
02/23/2024,$105.63,6947285,$105.26,$106.62,$105.19
02/22/2024,$105.08,6705491,$105.80,$106.01,$104.08
02/21/2024,$105.27,8893514,$103.35,$105.52,$102.93
02/20/2024,$103.30,8759480,$103.13,$103.84,$102.17
02/16/2024,$103.51,14590130,$104.63,$104.70,$101.65
02/15/2024,$106.05,7201273,$107.02,$107.34,$105.83
02/14/2024,$106.33,5743277,$104.82,$106.42,$104.46
02/13/2024,$105.00,6180509,$104.99,$105.80,$104.245
02/12/2024,$107.18,7501946,$104.74,$107.43,$104.645
02/09/2024,$104.50,5449022,$103.80,$104.94,$103.33
02/08/2024,$103.77,6330409,$104.43,$104.96,$103.045
02/07/2024,$103.79,9447765,$102.39,$104.34,$102.35
02/06/2024,$102.61,11372410,$99.50,$102.63,$99.13
02/05/2024,$99.68,10097940,$100.50,$100.59,$99.0531
02/02/2024,$100.71,8966927,$100.88,$101.4099,$99.43
02/01/2024,$101.76,7666694,$101.90,$102.2494,$100.61
01/31/2024,$101.53,11547640,$104.09,$104.30,$101.12
01/30/2024,$104.18,7542837,$103.34,$104.31,$103.13
01/29/2024,$103.88,8860834,$102.88,$104.01,$101.34
01/26/2024,$102.75,9735779,$101.57,$103.27,$101.22
01/25/2024,$100.77,10063750,$101.53,$101.74,$100.09
01/24/2024,$100.76,7879315,$101.78,$101.80,$100.69
01/23/2024,$101.90,8208026,$101.63,$102.14,$101.23
01/22/2024,$100.56,9897443,$101.75,$101.81,$100.09
01/19/2024,$101.78,8517208,$101.02,$102.18,$99.67
01/18/2024,$100.94,8852439,$101.00,$101.425,$100.07
01/17/2024,$100.82,8226243,$101.05,$101.31,$100.24
01/16/2024,$101.72,10547900,$103.94,$104.2199,$101.36
01/12/2024,$105.06,6680858,$106.00,$106.32,$104.72
01/11/2024,$105.90,9537701,$104.22,$106.01,$103.73
01/10/2024,$103.77,6784662,$102.69,$103.83,$102.37
01/09/2024,$102.74,7759476,$103.17,$103.40,$102.50
01/08/2024,$103.62,9414218,$102.08,$103.685,$101.7301
01/05/2024,$102.08,8044543,$102.46,$103.68,$101.90
01/04/2024,$102.30,10420580,$102.46,$103.62,$102.30
01/03/2024,$104.04,10573740,$105.72,$107.48,$104.00
01/02/2024,$106.55,9326616,$107.61,$107.85,$106.45
12/29/2023,$108.57,7667522,$108.96,$109.96,$108.09
12/28/2023,$108.82,9352902,$107.21,$109.40,$106.81
12/27/2023,$107.13,10157850,$108.34,$108.5898,$106.85
12/26/2023,$108.02,12846720,$108.30,$108.69,$107.48
12/22/2023,$108.04,46666190,$108.26,$110.80,$107.45
12/21/2023,$122.53,16533350,$122.30,$123.30,$121.30
12/20/2023,$121.43,9176621,$121.13,$123.3916,$121.00
12/19/2023,$122.64,7697272,$121.74,$123.34,$121.64
12/18/2023,$121.14,6874837,$121.41,$121.84,$120.855
12/15/2023,$121.55,13633280,$120.93,$122.06,$120.60
12/14/2023,$121.02,9590510,$121.44,$122.59,$119.82
12/13/2023,$121.17,8182887,$119.35,$121.44,$119.20
12/12/2023,$119.64,7378379,$119.68,$119.99,$118.58
12/11/2023,$118.61,7972751,$117.79,$119.42,$117.43
12/08/2023,$115.91,6122150,$114.50,$116.29,$114.47
12/07/2023,$114.81,7294460,$114.12,$116.00,$114.12
12/06/2023,$116.11,6316960,$116.00,$117.14,$115.5721
12/05/2023,$115.41,6959966,$114.66,$116.04,$114.60
12/04/2023,$115.15,10086580,$113.08,$115.32,$113.00
12/01/2023,$113.48,8051815,$110.33,$113.55,$109.75
11/30/2023,$110.27,8690871,$110.53,$110.595,$108.9649
11/29/2023,$110.37,9601810,$110.80,$112.15,$110.145
11/28/2023,$108.75,7287568,$108.57,$109.90,$108.15
11/27/2023,$107.96,5785038,$107.66,$108.22,$106.90
11/24/2023,$107.64,2443610,$107.50,$108.00,$107.40
11/22/2023,$107.92,6280910,$107.50,$108.03,$106.82
11/21/2023,$106.55,5803549,$106.17,$106.70,$105.35
11/20/2023,$106.32,6198621,$106.00,$106.55,$105.10
11/17/2023,$105.96,6353975,$108.06,$108.21,$105.52
11/16/2023,$107.61,5386979,$107.10,$108.00,$107.0001
11/15/2023,$107.82,11140830,$106.82,$109.06,$106.72
11/14/2023,$105.75,9674819,$105.56,$107.10,$105.38
11/13/2023,$104.20,7055631,$105.37,$105.72,$104.18
11/10/2023,$106.11,8897927,$107.34,$107.83,$105.61
11/09/2023,$107.00,9154218,$109.82,$109.90,$106.92
11/08/2023,$109.39,8639736,$109.37,$110.70,$108.90
11/07/2023,$109.36,7745848,$107.32,$109.36,$107.23
11/06/2023,$107.25,5231865,$106.96,$107.60,$106.37
11/03/2023,$107.06,7567959,$106.43,$107.65,$106.05
11/02/2023,$105.08,8135111,$102.05,$105.55,$101.89
11/01/2023,$100.88,7272370,$102.55,$102.67,$99.9688
10/31/2023,$102.77,6558458,$101.40,$102.93,$101.40
10/30/2023,$101.80,8206720,$99.00,$102.05,$99.00
10/27/2023,$97.98,9602699,$99.78,$100.335,$97.81
10/26/2023,$100.02,11222560,$102.18,$102.63,$99.95
10/25/2023,$103.54,7054680,$104.46,$105.035,$103.49
10/24/2023,$105.18,9252448,$103.66,$105.65,$103.66
10/23/2023,$102.81,5966147,$102.13,$103.755,$101.77
10/20/2023,$102.67,7823499,$103.32,$103.77,$102.57
10/19/2023,$103.05,8391080,$103.77,$104.35,$102.85
10/18/2023,$103.77,8757335,$102.97,$103.90,$102.9264
10/17/2023,$103.01,9253760,$101.97,$103.59,$101.97
10/16/2023,$102.04,10845420,$99.72,$102.58,$99.60
10/13/2023,$99.91,8784716,$99.585,$100.845,$99.45
10/12/2023,$99.25,10705170,$99.54,$100.05,$98.52
10/11/2023,$98.65,7642891,$98.31,$98.95,$98.01
10/10/2023,$97.62,8499017,$97.25,$98.86,$97.23
10/09/2023,$96.88,5964219,$96.78,$97.14,$95.92
10/06/2023,$97.11,8532939,$95.79,$97.71,$95.06
10/05/2023,$95.79,7429982,$95.79,$96.23,$95.28
10/04/2023,$95.89,8045393,$95.58,$96.255,$95.12
10/03/2023,$95.09,10964320,$94.32,$96.05,$94.18
10/02/2023,$94.56,12776340,$96.20,$96.38,$93.73
09/29/2023,$95.62,34935390,$99.37,$99.47,$94.62
09/28/2023,$89.63,16315560,$89.10,$89.7814,$88.66
09/27/2023,$89.42,7631009,$90.56,$90.70,$89.205
09/26/2023,$90.17,8060479,$90.00,$90.70,$89.78
09/25/2023,$90.60,8291657,$90.00,$90.85,$89.79
09/22/2023,$90.85,9292847,$91.58,$92.33,$90.55
09/21/2023,$91.59,7960552,$93.42,$93.49,$91.481
09/20/2023,$94.04,10274670,$93.97,$95.40,$93.83
09/19/2023,$94.62,9390096,$95.04,$95.49,$94.41
09/18/2023,$95.51,6946299,$96.00,$96.3663,$95.28
09/15/2023,$96.26,10467340,$98.15,$98.15,$96.13
09/14/2023,$97.19,7075271,$96.72,$97.68,$95.90
09/13/2023,$96.13,7140729,$96.30,$97.195,$95.6593
09/12/2023,$96.30,6307698,$96.99,$97.17,$96.175
09/11/2023,$96.79,7584681,$98.33,$98.375,$96.58
09/08/2023,$97.67,6435533,$98.10,$98.1344,$97.2775
09/07/2023,$97.93,9927060,$98.26,$98.76,$97.64
09/06/2023,$100.18,6096014,$99.76,$100.305,$99.03
09/05/2023,$100.32,6698665,$101.50,$101.96,$100.225
09/01/2023,$102.36,6359599,$101.97,$102.96,$101.52
08/31/2023,$101.71,7046219,$102.62,$102.89,$101.61
08/30/2023,$102.10,4822098,$101.64,$102.81,$101.51
08/29/2023,$101.77,8641614,$100.03,$102.155,$99.72
08/28/2023,$99.63,6006590,$99.59,$100.06,$98.865
08/25/2023,$98.84,7290611,$98.50,$99.09,$97.81
08/24/2023,$97.63,10310040,$98.70,$99.19,$97.56
08/23/2023,$98.75,20909070,$96.98,$99.19,$96.545
08/22/2023,$101.46,9820097,$100.96,$102.37,$100.73
08/21/2023,$102.86,6697559,$105.47,$105.48,$102.63
08/18/2023,$104.81,5836067,$103.83,$105.05,$103.76
08/17/2023,$105.05,5692762,$107.43,$107.83,$104.78
08/16/2023,$106.53,5953064,$106.07,$108.375,$106.07
08/15/2023,$106.55,6197554,$106.07,$106.82,$105.60
08/14/2023,$107.64,5305181,$107.92,$108.30,$107.07
08/11/2023,$108.09,5104405,$108.90,$109.5277,$107.86
08/10/2023,$109.03,7276458,$110.31,$111.95,$108.52
08/09/2023,$109.69,4328573,$109.79,$110.02,$108.30
08/08/2023,$109.69,5851909,$109.63,$109.89,$107.35
08/07/2023,$110.48,4887311,$109.87,$110.9399,$109.1844
08/04/2023,$108.81,5621400,$108.71,$110.31,$108.24
08/03/2023,$108.64,5085760,$107.00,$109.085,$106.645
08/02/2023,$107.51,6213581,$108.28,$108.515,$107.45
08/01/2023,$109.40,4567383,$110.00,$110.53,$109.135
07/31/2023,$110.39,6406734,$109.405,$110.85,$109.0476
07/28/2023,$108.62,5993039,$108.11,$108.959,$107.63
07/27/2023,$107.67,6544605,$109.83,$110.23,$107.40
07/26/2023,$109.30,5148906,$108.30,$109.59,$107.9528
07/25/2023,$108.30,7692755,$108.28,$108.85,$107.39
07/24/2023,$108.77,6787619,$110.41,$110.55,$108.51
07/21/2023,$109.06,6631599,$107.995,$109.2863,$107.51
07/20/2023,$107.53,6458000,$109.57,$110.02,$107.48
07/19/2023,$109.88,5027105,$109.08,$110.245,$108.58
07/18/2023,$109.72,5717868,$108.58,$110.34,$108.31
07/17/2023,$108.71,6683385,$107.26,$109.0995,$106.76
07/14/2023,$107.95,6933557,$107.94,$108.64,$107.185
