nike_id,Date,Open,High,Low,Close,Volume,VWAP,Transactions,Percent Change,Return
88,05/09/23,125.270000,125.660000,124.170000,125.100000,4082170.000000,125.000000,65239,-0.014030,-299.790000
89,05/10/23,126.290000,126.460000,122.170000,123.510000,5052636.000000,123.680000,80969,-0.012710,-267.790000
90,05/11/23,123.450000,123.860000,121.900000,122.220000,5723069.000000,122.520000,83527,-0.010440,-217.260000
91,05/12/23,120.990000,121.200000,119.030000,120.210000,6574233.000000,120.150000,99453,-0.016450,-338.530000
92,05/15/23,119.820000,119.990000,118.000000,119.830000,5518188.000000,119.400000,88105,-0.003160,-64.000000
93,05/16/23,117.500000,117.840000,116.120000,116.480000,8307929.000000,116.760000,101307,-0.027960,-564.210000
94,05/17/23,116.380000,117.130000,115.250000,116.980000,7765386.000000,116.610000,102105,0.004290,84.210000
95,05/18/23,117.430000,119.140000,116.850000,118.870000,5970500.000000,118.260000,88128,0.016160,318.320000
96,05/19/23,114.560000,115.490000,113.100000,114.760000,11674272.000000,114.470000,150212,-0.034580,-692.210000
97,05/22/23,112.850000,112.850000,110.020000,110.180000,12710292.000000,111.210000,181568,-0.039910,-771.370000
98,05/23/23,109.770000,111.060000,108.190000,108.780000,11790409.000000,109.360000,164417,-0.012710,-235.790000
99,05/24/23,109.000000,109.100000,107.200000,108.290000,8503192.000000,108.010000,122376,-0.004500,-82.530000
100,05/25/23,108.350000,108.970000,107.420000,107.480000,6729847.000000,107.910000,84383,-0.007480,-136.420000
101,05/26/23,107.000000,108.450000,107.000000,107.510000,7911202.000000,107.820000,107325,0.000280,5.050000
102,05/30/23,108.400000,108.880000,106.270000,106.520000,9329798.000000,107.050000,122172,-0.009210,-166.740000
103,05/31/23,105.700000,106.170000,104.830000,105.260000,21465163.000000,105.320000,146783,-0.011830,-212.210000
104,06/01/23,104.180000,104.600000,102.900000,103.630000,12025210.000000,103.910000,146404,-0.015490,-274.530000
105,06/02/23,107.630000,108.420000,106.130000,107.780000,11838228.000000,107.460000,146289,0.040050,698.950000
106,06/05/23,107.880000,107.880000,105.180000,105.200000,7983941.000000,105.900000,116341,-0.023940,-434.530000
107,06/06/23,105.490000,106.750000,105.200000,106.190000,7896257.000000,106.090000,99184,0.009410,166.740000
108,06/07/23,106.040000,108.240000,105.420000,107.090000,11123903.000000,107.300000,135113,0.008480,151.580000
109,06/08/23,107.160000,107.520000,105.670000,106.200000,9139448.000000,106.240000,99280,-0.008310,-149.890000
110,06/09/23,105.910000,106.280000,105.350000,105.860000,5796002.000000,105.810000,97983,-0.003200,-57.260000
111,06/12/23,106.290000,106.850000,104.600000,106.830000,7953771.000000,105.820000,114384,0.009160,163.370000
112,06/13/23,107.140000,107.480000,106.290000,106.780000,8460508.000000,106.870000,109659,-0.000470,-8.420000
113,06/14/23,107.480000,113.400000,107.480000,112.860000,17415459.000000,112.030000,226239,0.056940,1024.000000
114,06/15/23,111.830000,112.820000,110.160000,112.410000,10374195.000000,111.690000,130637,-0.003990,-75.790000
115,06/16/23,114.000000,114.760000,113.060000,113.590000,14445506.000000,113.830000,116984,0.010500,198.740000
116,06/20/23,111.410000,112.820000,108.960000,109.540000,10606880.000000,109.960000,141159,-0.035650,-682.110000
117,06/21/23,109.130000,110.360000,108.710000,109.980000,8377812.000000,109.740000,97114,0.004020,74.110000
118,06/22/23,110.820000,111.250000,109.780000,110.460000,6003494.000000,110.590000,89382,0.004360,80.840000
119,06/23/23,107.750000,110.290000,107.300000,109.520000,14329235.000000,109.470000,105408,-0.008510,-158.320000
120,06/26/23,109.670000,112.210000,109.670000,111.740000,6887058.000000,111.740000,97480,0.020270,373.890000
121,06/27/23,112.530000,114.180000,112.430000,113.610000,7138608.000000,113.490000,102648,0.016740,314.950000
122,06/28/23,113.340000,113.740000,112.120000,113.030000,6759074.000000,112.930000,90847,-0.005110,-97.680000
123,06/29/23,113.600000,114.270000,112.610000,113.370000,12465528.000000,112.450000,154838,0.003010,57.260000
124,06/30/23,111.590000,112.250000,109.800000,110.370000,19629590.000000,110.750000,215231,-0.026460,-505.260000
125,07/03/23,111.060000,111.300000,109.110000,109.110000,5734199.000000,109.860000,83549,-0.011420,-212.210000
126,07/05/23,108.620000,108.900000,106.540000,107.100000,10354553.000000,107.190000,137415,-0.018420,-338.530000
127,07/06/23,105.290000,106.090000,103.670000,105.100000,9929226.000000,104.820000,135642,-0.018670,-336.840000
128,07/07/23,104.800000,105.470000,104.030000,104.460000,7463086.000000,104.790000,98303,-0.006090,-107.790000
129,07/10/23,104.480000,106.310000,104.250000,105.780000,5374580.000000,105.660000,85292,0.012640,222.320000
130,07/11/23,105.650000,107.620000,105.620000,107.390000,5457205.000000,106.940000,80554,0.015220,271.160000
131,07/12/23,108.520000,109.090000,107.220000,107.760000,8305044.000000,107.970000,103876,0.003450,62.320000
132,07/13/23,109.070000,109.130000,107.680000,107.840000,6692257.000000,108.120000,86282,0.000740,13.470000
133,07/14/23,107.940000,108.640000,107.180000,107.950000,6933557.000000,107.890000,88527,0.001020,18.530000
134,07/17/23,107.260000,109.100000,106.760000,108.710000,6683385.000000,108.440000,87120,0.007040,128.000000
135,07/18/23,108.580000,110.340000,108.310000,109.720000,5717868.000000,109.590000,85037,0.009290,170.110000
136,07/19/23,109.080000,110.240000,108.580000,109.880000,5027105.000000,109.470000,79257,0.001460,26.950000
137,07/20/23,109.570000,110.020000,107.480000,107.530000,6458000.000000,108.310000,89624,-0.021390,-395.790000
138,07/21/23,108.000000,109.290000,107.510000,109.060000,6631599.000000,108.560000,86966,0.014230,257.680000
139,07/24/23,110.410000,110.550000,108.510000,108.770000,6787621.000000,109.360000,101330,-0.002660,-48.840000
140,07/25/23,108.280000,108.850000,107.390000,108.300000,7692755.000000,107.990000,98296,-0.004320,-79.160000
141,07/26/23,108.300000,109.590000,107.950000,109.300000,5148906.000000,108.820000,76541,0.009230,168.420000
142,07/27/23,109.830000,110.230000,107.400000,107.670000,6544605.000000,108.570000,86828,-0.014910,-274.530000
143,07/28/23,108.110000,108.960000,107.630000,108.620000,5960039.000000,108.360000,74946,0.008820,160.000000
144,07/31/23,109.400000,110.850000,109.050000,110.390000,6406734.000000,110.230000,82732,0.016300,298.110000
145,08/01/23,110.000000,110.530000,109.140000,109.400000,4567383.000000,109.590000,70168,-0.008970,-166.740000
146,08/02/23,108.280000,108.520000,107.450000,107.510000,6213581.000000,107.830000,83938,-0.017280,-318.320000
147,08/03/23,107.000000,109.080000,106.640000,108.640000,5085760.000000,108.440000,75183,0.010510,190.320000
148,08/04/23,108.710000,110.310000,108.240000,108.810000,5621400.000000,109.140000,85205,0.001560,28.630000
149,08/07/23,109.870000,110.940000,109.180000,110.480000,4887311.000000,110.020000,76527,0.015350,281.260000
150,08/08/23,109.630000,109.890000,107.350000,109.690000,5851909.000000,108.760000,82848,-0.007150,-133.050000
151,08/09/23,109.790000,110.020000,108.300000,109.690000,4328573.000000,109.520000,67996,0.000000,0.000000
152,08/10/23,110.310000,111.950000,108.520000,109.030000,7276458.000000,109.770000,97901,-0.006020,-111.160000
153,08/11/23,108.900000,109.530000,107.860000,108.090000,5104405.000000,108.370000,86381,-0.008620,-158.320000
154,08/14/23,107.920000,108.300000,107.070000,107.640000,5305181.000000,107.680000,83500,-0.004160,-75.790000
155,08/15/23,106.070000,106.820000,105.600000,106.550000,6197554.000000,106.360000,93483,-0.010130,-183.580000
156,08/16/23,106.070000,108.380000,106.070000,106.530000,5953064.000000,107.120000,74139,-0.000190,-3.370000
157,08/17/23,107.430000,107.830000,104.780000,105.050000,5692762.000000,105.770000,78341,-0.013890,-249.260000
158,08/18/23,103.830000,105.050000,103.760000,104.810000,5836067.000000,104.430000,91330,-0.002280,-40.420000
